E_COORD;N_COORD;AS18_4
2625000;1177900;2
2625000;1178300;3
2625100;1150300;4
2625100;1151000;4
2625100;1151500;4
2625100;1151600;4
2625100;1151900;4
2625100;1152600;4
2625100;1152800;4
2625100;1153300;2
2625100;1153800;2
2625100;1154000;2
2625100;1154200;2
2623200;1179500;3
2623300;1170100;4
2623300;1171100;1
2623300;1172000;2
2623300;1172600;3
2623300;1172700;3
2623300;1172800;3
2623300;1173700;3
2623300;1174000;3
2623300;1174500;2
2623300;1175800;3
2621800;1165700;3
2621800;1166000;2
2621800;1166400;2
2621800;1167500;1
2621800;1168100;3
2621800;1168900;4
2621800;1169000;4
2621800;1169400;4
2621800;1169900;4
2621800;1171100;4
2621800;1172200;4
2621800;1172400;4
2621800;1172900;4
2621800;1173600;2
2621800;1174000;2
2621800;1174100;2
2621800;1175400;2
2621900;1155500;4
2621900;1156400;3
2621900;1157300;3
2621900;1157400;3
2621900;1157600;1
2621900;1158300;2
2621900;1158600;3
2621900;1158900;2
2626200;1167500;4
2626200;1167600;4
2626200;1168000;4
2626200;1169300;4
2626200;1170000;4
2626200;1170500;3
2626200;1170600;3
2626200;1171100;1
2626200;1171200;3
2626200;1171500;2
2626200;1171700;1
2626200;1172200;3
2626200;1172400;3
2626200;1172600;3
2624800;1176900;2
2624800;1177700;3
2624800;1177800;3
2623100;1178900;3
2623100;1179400;3
2623100;1179800;3
2623100;1180000;3
2625100;1154300;3
2625100;1154400;2
2625100;1154800;3
2625100;1155100;3
2625100;1155600;3
2625100;1156200;2
2625100;1156400;3
2625100;1156700;2
2625100;1157000;2
2625100;1157400;3
2625100;1157500;3
2623300;1176100;2
2623300;1176500;3
2623300;1177000;3
2623300;1177100;2
2623300;1177500;3
2623300;1177700;3
2623300;1178300;3
2623300;1178400;3
2623300;1178500;3
2623300;1178600;3
2623300;1178900;3
2623300;1179200;3
2623300;1179900;2
2623400;1159900;4
2623400;1160000;2
2623400;1161200;3
2623400;1161400;2
2623400;1161500;2
2623400;1161700;4
2623400;1161900;4
2623400;1162100;2
2623400;1162600;2
2623400;1162700;2
2623400;1162800;2
2623400;1163300;3
2623400;1163600;2
2623400;1164200;3
2623400;1165700;3
2623400;1166000;3
2623400;1166800;3
2623400;1167000;3
2623400;1167500;2
2623400;1167800;1
2623400;1168200;4
2623400;1168300;4
